Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change Percentage (%),Date
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,129001,40,13.6,13.6,13.9,13.2,13.5,-0.1,-0.74,2022-04-12
RICHARD PIERIS EXPORTS PLC,REXP.N0000,1220,33,600.25,591.0,609.75,580.0,590.75,-9.5,-1.58,2022-04-12
ROYAL CERAMICS LANKA PLC,RCL.N0000,1244592,492,34.0,35.0,35.8,33.0,34.5,0.5,1.47,2022-04-12
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,1410,6,19.4,19.0,19.0,18.5,18.7,-0.7,-3.61,2022-04-12
S M B LEASING PLC,SEMB.X0000,1705900,38,0.2,0.2,0.3,0.2,0.3,0.1,50.0,2022-04-12
S M B LEASING PLC,SEMB.N0000,8802439,180,0.6,0.7,0.7,0.5,0.6,0.0,0.0,2022-04-12
SAMPATH BANK PLC,SAMP.N0000,399655,372,40.7,41.0,41.0,39.5,39.6,-1.1,-2.7,2022-04-12
SAMSON INTERNATIONAL PLC,SIL.N0000,114,6,155.75,156.0,156.0,143.0,150.25,-5.5,-3.53,2022-04-12
SANASA DEVELOPMENT BANK PLC,SDB.N0000,30576,15,27.6,29.5,29.5,27.1,27.1,-0.5,-1.81,2022-04-12
SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,14946,5,14.8,9.2,13.0,9.2,12.0,-2.8,-18.92,2022-04-12
SERENDIB HOTELS PLC,SHOT.X0000,15,1,8.8,8.7,8.7,8.7,8.8,0.0,0.0,2022-04-12
SEYLAN BANK PLC,SEYB.X0000,28759,32,23.0,24.0,25.0,22.7,22.9,-0.1,-0.43,2022-04-12
SEYLAN BANK PLC,SEYB.N0000,3199,16,32.8,31.0,32.0,30.3,30.4,-2.4,-7.32,2022-04-12
SEYLAN DEVELOPMENTS PLC,CSD.N0000,119590,17,14.0,14.1,14.3,14.1,14.2,0.2,1.43,2022-04-12
SHAW WALLACE INVESTMENTS PLC,KZOO.N0000,132490,36,7.1,7.0,7.2,6.6,7.0,-0.1,-1.41,2022-04-12
SIERRA CABLES PLC,SIRA.N0000,98510,37,7.0,7.0,7.3,6.3,7.1,0.1,1.43,2022-04-12
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,150,3,46.0,45.1,45.1,45.1,45.1,-0.9,-1.96,2022-04-12
SINGER (SRI LANKA) PLC,SINS.N0000,222765,83,12.3,12.0,12.4,11.8,11.9,-0.4,-3.25,2022-04-12
SINGER FINANCE LANKA PLC,SFIN.N0000,35648,23,12.6,12.6,12.9,12.3,12.5,-0.1,-0.79,2022-04-12
SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,370,4,37.0,37.5,37.5,37.0,37.0,0.0,0.0,2022-04-12
SINGHE HOSPITALS PLC,SINH.N0000,28932,13,2.3,2.2,2.3,2.1,2.2,-0.1,-4.35,2022-04-12
SOFTLOGIC CAPITAL PLC,SCAP.N0000,642140,226,6.1,5.5,6.5,5.5,6.2,0.1,1.64,2022-04-12
SOFTLOGIC FINANCE PLC,CRL.N0000,2127,7,8.3,8.2,8.8,8.2,8.8,0.5,6.02,2022-04-12
SOFTLOGIC HOLDINGS PLC,SHL.N0000,81677,65,29.2,30.0,32.5,26.0,29.7,0.5,1.71,2022-04-12
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,246459,207,45.1,45.1,47.0,42.5,45.2,0.1,0.22,2022-04-12
SRI LANKA TELECOM PLC,SLTL.N0000,7095,36,35.8,39.0,39.0,35.0,35.0,-0.8,-2.23,2022-04-12
SUNSHINE HOLDINGS PLC,SUN.N0000,293204,232,34.0,30.0,34.0,30.0,31.6,-2.4,-7.06,2022-04-12
SWISSTEK (CEYLON) PLC,PARQ.N0000,111032,83,17.2,17.1,18.9,17.0,17.4,0.2,1.16,2022-04-12
TAL LANKA HOTELS PLC,TAJ.N0000,2,2,15.5,15.4,15.9,15.4,15.5,0.0,0.0,2022-04-12
TALAWAKELLE TEA ESTATES PLC,TPL.N0000,11600,13,42.0,45.5,45.5,41.0,41.5,-0.5,-1.19,2022-04-12
TANGERINE BEACH HOTELS PLC,TANG.N0000,117,5,40.5,35.6,40.0,35.5,36.9,-3.6,-8.89,2022-04-12
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,450,3,27.1,27.0,27.0,27.0,27.0,-0.1,-0.37,2022-04-12
TEEJAY LANKA PLC,TJL.N0000,821912,133,39.5,40.0,41.0,39.0,40.0,0.5,1.27,2022-04-12
TESS AGRO PLC,TESS.X0000,110400,10,0.9,0.8,0.9,0.8,0.9,0.0,0.0,2022-04-12
TESS AGRO PLC,TESS.N0000,934650,34,1.1,1.2,1.3,1.1,1.2,0.1,9.09,2022-04-12
THE LIGHTHOUSE HOTEL PLC,LHL.N0000,3200,13,22.6,27.4,27.4,22.5,22.5,-0.1,-0.44,2022-04-12
THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,66100,14,12.1,12.0,13.4,11.5,11.5,-0.6,-4.96,2022-04-12
THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,335,2,7.2,6.9,7.0,6.9,6.9,-0.3,-4.17,2022-04-12
THE KINGSBURY PLC,SERV.N0000,87398,15,8.0,8.0,8.4,7.5,7.5,-0.5,-6.25,2022-04-12
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,29161,15,50.1,52.0,52.0,49.0,49.1,-1.0,-2.0,2022-04-12
THREE ACRE FARMS PLC,TAFL.N0000,11201,28,170.0,165.25,165.25,156.0,159.5,-10.5,-6.18,2022-04-12
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,228596,69,30.1,30.0,34.5,29.0,29.5,-0.6,-1.99,2022-04-12
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,66190,70,24.5,24.2,25.0,23.1,23.6,-0.9,-3.67,2022-04-12
TRANS ASIA HOTELS PLC,TRAN.N0000,100,3,44.6,45.5,45.5,45.5,45.5,0.9,2.02,2022-04-12
UNION BANK OF COLOMBO PLC,UBC.N0000,398200,37,7.5,7.5,7.5,7.0,7.0,-0.5,-6.67,2022-04-12
UNISYST ENGINEERING PLC,ALUF.N0000,7375,26,11.3,9.9,11.3,9.5,10.6,-0.7,-6.19,2022-04-12
VALLIBEL FINANCE PLC,VFIN.N0000,23715,33,37.0,37.0,38.0,36.0,37.5,0.5,1.35,2022-04-12
VALLIBEL ONE PLC,VONE.N0000,176478,167,38.4,38.0,39.9,37.0,37.7,-0.7,-1.82,2022-04-12
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,231951,95,7.0,7.0,7.1,6.9,7.0,0.0,0.0,2022-04-12
VIDULLANKA PLC,VLL.X0000,169803,30,5.5,5.2,5.5,5.0,5.0,-0.5,-9.09,2022-04-12
VIDULLANKA PLC,VLL.N0000,24585,7,6.6,6.5,7.0,6.5,7.0,0.4,6.06,2022-04-12
WASKADUWA BEACH RESORT PLC,CITW.N0000,70143,20,1.8,1.9,2.1,1.8,2.0,0.2,11.11,2022-04-12
WATAWALA PLANTATIONS PLC,WATA.N0000,128761,270,75.7,79.9,79.9,68.0,69.4,-6.3,-8.32,2022-04-12
WINDFORCE PLC,WIND.N0000,141351,130,15.8,15.6,15.6,14.9,15.0,-0.8,-5.06,2022-04-12
YORK ARCADE HOLDINGS PLC,YORK.N0000,103,2,128.5,150.0,154.0,150.0,153.5,25.0,19.46,2022-04-12
